cx-timeseriesid,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
e9126f469646506b8e82b4214d075bf72d9d324d357650ba670ed6f6fbbf2a75-usage_pack_data,133.63,95.24,72.55,80.52,68.79,147.01,39.03,0,101.56,120.19,85.43,120.36,62.04,65.76,39.27,9.13,101.54,3.16,39.4,0,44.35,0,61.71,16.05,42.95,0,24.35,0,2.04,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e9126f469646506b8e82b4214d075bf72d9d324d357650ba670ed6f6fbbf2a75-usage_pack_vas,0,39.34,0,8.93,0,30.6,0,12.6,0,19.22,49.08,0,0,0,53.62,135.3,0,50.88,33.23,0,0,0,0,0,0,44.11,30.69,88.7,137.57,52.46,0,0,0,77.83,0,0,0,24.14,0,0,12.74,66.46,37.69,0,25.56,96.89,69.66,72.11,0,20.75,0,92.19,0,77.77,88.69,0,0,0,0,0,0,0,61.9,39.09,8.79,0,33.89,0,0,0,0,47.77,0,0,0,0.42,129.76,47.19,0,2.12,0,78.5,32.44,0,115.95,0,67.98,10.95,0,48.35
f4972d45b42830d180360f2a2b5e921e5f67aa18ad09e94dd1cd0c041fed1329-usage_app_other,108.84,164.1,1047.23,0,784.37,1283.02,0,0,0,0,0,0,0,41.23,35.47,0,0,0,0,276.79,610.62,0,174.29,549.02,486.92,0,0,0,0,81.87,405.78,0,0,391.71,0,24.66,0,669.45,581.33,0,0,0,0,0,74.5,381.28,348.68,206.95,0,0,0,0.53,0,247.69,0,0,0,0,448.65,0,0,0,0,102.11,0,0,146.14,529.4,0,0,0,0,0,0,0,0,0,0,0,179.15,0,523.22,266.09,0,0,0,0,0,0,0
f4972d45b42830d180360f2a2b5e921e5f67aa18ad09e94dd1cd0c041fed1329-usage_app_youtube_daily,104.69,96.02,0,182.04,159.57,33.08,98.99,87.18,105.85,56.44,115.56,140.1,177.07,73.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.22,144.13,21.51,190.23,48.19,237.38,112.85,70.79,18.97,106.07,0,7.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.42,0,0,0,0,26.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f4972d45b42830d180360f2a2b5e921e5f67aa18ad09e94dd1cd0c041fed1329-usage_app_facebook_daily,36.78,57.7,51.6,36.29,0,0,0,71.4,67.81,36.3,59.23,0,0,0,32.35,56,55.39,49.08,0,0,0,51,51.24,13.5,44.38,0,0,0,30.75,44.54,33.91,43.79,0,0,0,38.69,28,0,0,0,0,0,35.21,8.38,15.68,24.69,0,0,0,4.78,0.93,0,0,0,0,0,0,24.19,15.59,0,0,0,0,4.89,3.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f4972d45b42830d180360f2a2b5e921e5f67aa18ad09e94dd1cd0c041fed1329-usage_app_tiktok_daily,0,220.87,0,239.61,0,495.53,70.34,0,401.39,0,199.01,190.73,226.51,316.51,269.01,0,65.14,420.21,165.61,0,0,0,0,0,11.38,0,63.93,0,0,0,0,517.23,0,0,0,0,0,0,0,0,0,113.05,1,0,0,202.45,265.41,0,0,0,0,0,203.75,184,60.38,463.37,0,5.96,226.44,159.78,0,0,0,0,157.23,0,0,0,0,0,11.14,423.52,0,92.89,0,108.23,0,38.86,0,176.35,16.57,0,0,328.19,61.27,296.18,0,228.2,211.05,0
f4972d45b42830d180360f2a2b5e921e5f67aa18ad09e94dd1cd0c041fed1329-usage_app_whatsapp_daily,3.72,5.73,12.54,0,22.3,0,8.62,11.05,15.8,0,0,15.23,3.7,0.34,0,1.44,10.64,8.11,5.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.17,1.12,0,0,0,0,0,0,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f4972d45b42830d180360f2a2b5e921e5f67aa18ad09e94dd1cd0c041fed1329-usage_app_helakuru_daily,6.52,10.24,6.28,11.56,12.88,10.53,6.57,7.87,5.66,7.58,4.56,7.79,6.59,5.89,6.66,6.67,10.53,5.35,6.92,1.89,7.91,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f4972d45b42830d180360f2a2b5e921e5f67aa18ad09e94dd1cd0c041fed1329-usage_voice_d2d_outgoing,19.56,19.19,18.59,17.62,16.53,16.69,15.71,15.14,14.49,12.8,12.91,0,0,0,0,0,0,0,0,0,0,0,3.73,2.13,1.67,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f4972d45b42830d180360f2a2b5e921e5f67aa18ad09e94dd1cd0c041fed1329-usage_voice_d2nd_outgoing,0,0,0,29.43,22.56,0,0,0,1.53,0,29.19,34.43,42.61,55.19,0,0,0,1.97,0,0,49.96,39.96,0,0,0,3.77,0,32.98,22.06,0,8.95,0,0,0,0,0,0,0,0,0,0,0,0,65.41,0,3.11,1.63,0,31.36,10.09,1.95,0,0,0,0,0,0,0,0,0,0,0,17.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f4972d45b42830d180360f2a2b5e921e5f67aa18ad09e94dd1cd0c041fed1329-usage_voice_d2d_incoming,12.2,57.8,36.51,60.92,60.23,0,9.54,43.44,42.1,26.22,0,45.8,0,0,4.8,75.34,113.65,33.72,0,4.2,0,48.99,26.32,0,0,63.09,54.96,32.55,0,0,11.07,0,0,41.17,0,50.75,0,14.46,0,0,77.06,73.84,0,20.23,34.19,0,65.6,32.98,0,87.77,75.67,0,45.87,0,0,101.58,11.14,37.34,9.01,24.3,12.79,0,13.85,0,93.12,0,0,22.16,0,0,0,0,0,0,0,0,0,0,0,0,0,17.35,0,52.57,54.03,0,0,21.33,49.74,0
f4972d45b42830d180360f2a2b5e921e5f67aa18ad09e94dd1cd0c041fed1329-usage_voice_nd2d_incoming,0,108.85,46.86,0,72.78,19.61,0,25.23,26.95,119.43,108.03,103.5,9.62,0,0,133.71,23,0,0,51.85,0,0,0,75.21,0,0,15.33,13.81,0,0,0,196.77,0,67.61,85.51,0,8.63,75.86,59.48,0,140.19,32.1,221.25,36.62,69.28,206.61,186.08,49.1,0,88.33,0,49.41,5.64,76.67,11.8,0,0,109.6,0,0,95.23,19.55,99.63,77.28,4.87,0,168.14,98.97,255.38,236.74,56.93,112.23,129.07,223.88,278.12,280.29,131.71,115.54,122.49,5.72,128.85,174.84,230.78,71.38,147.8,25.08,85.53,186.05,65.12,66.02
f4972d45b42830d180360f2a2b5e921e5f67aa18ad09e94dd1cd0c041fed1329-usage_pack_data,93.05,103.67,104.78,90.14,90.26,113.09,106.36,105.97,102.78,88.08,93.75,93.43,99.84,97.53,83.27,89.51,83.2,89.54,94.92,91.18,83.45,92.72,83.42,81.17,89.41,82.66,84.98,92.5,76.21,92.75,89.31,68.67,77.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.6,60.95,64.11,63.02,56.04,48.27,68.52,51.49,44.75,51.74,62.67,51.08,52.92,54.32,55.37,46.78,39.54,45,48.22,41.51,40.42,40.6,60.24,41.57
f4972d45b42830d180360f2a2b5e921e5f67aa18ad09e94dd1cd0c041fed1329-usage_pack_vas,4.14,155.1,193.3,0,33.86,17.99,77.64,46.81,14.3,133.17,16.69,113.03,4.1,45.86,60.12,0,0,46.24,0,0,0,0,0,0,0,21.68,0,55.17,0,0,0,0,0,0,0,0,78.25,0,0,134.53,51.97,0,90.28,86.89,0,78.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.85,0,0,0,0,0,122,32.29,77.61,0,74.02,79.24,0,0,0,0,0,0,0,0,0,0,36.61,0,0
9e2adb8e95b6d4f0d645ad02c8cbd935ec7701ec5da22557ec5411c46e9c7f4a-usage_app_other,89.54,108.57,103.84,103.62,41.36,81.85,75.02,60.39,70.59,55.62,71.88,36.03,59.66,38.24,20.45,25.64,30.51,36.06,17.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9e2adb8e95b6d4f0d645ad02c8cbd935ec7701ec5da22557ec5411c46e9c7f4a-usage_app_youtube_daily,119.08,36.45,0,457.02,32.2,235.58,156.84,55.59,161.13,198.79,178.19,447.47,0,122.01,281.54,184.2,171.94,172.59,397.03,13.38,247.56,48.97,21.28,215.06,34.33,0,0,0,125.93,0,202.76,108.35,111.22,48.45,0,0,42.52,296.48,0,116.25,0,286.74,0,169.17,218.49,139.63,142.41,287.88,284.14,302.03,441.68,303.45,254.98,385.42,329.62,322.56,286.87,151,608.57,243.36,300.77,179.53,0,0,83.41,0,199.06,0,0,0,0,0,0,171.27,0,0,0,81.48,4.18,139.94,120,0,92.7,138.12,323.63,323.41,407.17,212.18,360.65,78.44
9e2adb8e95b6d4f0d645ad02c8cbd935ec7701ec5da22557ec5411c46e9c7f4a-usage_app_facebook_daily,82.51,67.23,80.07,76.98,62.51,58.72,64.33,50.94,48.13,0,0,0,0,0,0,0,0,0,34.18,30.46,20.34,23.98,17.26,19.28,24.8,22.98,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9e2adb8e95b6d4f0d645ad02c8cbd935ec7701ec5da22557ec5411c46e9c7f4a-usage_app_tiktok_daily,100.64,21.11,102.24,68.5,17.07,3.77,2.36,0,29.29,13.87,0,24.18,0,21.93,8.59,27.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9e2adb8e95b6d4f0d645ad02c8cbd935ec7701ec5da22557ec5411c46e9c7f4a-usage_app_whatsapp_daily,0,31.91,1.21,12.9,9.4,0,18.47,0.57,16.05,1.06,13.79,6.72,12.35,2.03,13.07,20.08,27.95,0,12.39,21.8,0,12.29,9.92,15.36,28.6,16.23,8.75,32.09,18.9,0,0,0,0.12,7.87,0,0,0,0,0,19.32,0,1.9,5.85,0,0.68,12.53,0,0.68,5.1,3.75,0,30.58,0,0,13.09,3.28,0,14.04,40.67,46.24,23.58,41.02,33.14,27.11,30.96,21.22,6.36,37.39,0,37.1,35.39,36.18,15.34,38.28,53.41,32.29,34.58,33,1.59,23.36,33.16,22.42,42.58,19.3,44.79,34.93,28.9,0,0.75,8.07
9e2adb8e95b6d4f0d645ad02c8cbd935ec7701ec5da22557ec5411c46e9c7f4a-usage_app_helakuru_daily,10.08,9.73,9.69,9.36,9.29,8.96,8.86,8.84,8.64,8.24,8.32,8.05,7.81,7.75,7.39,7.22,7.05,6.68,6.74,6.58,6.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41,2.37,2.02,2,1.67,1.6,1.48,1.22,1.11,1.08,0.62,0.54,0.38,0.01,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9e2adb8e95b6d4f0d645ad02c8cbd935ec7701ec5da22557ec5411c46e9c7f4a-usage_voice_d2d_outgoing,22.25,15.8,19.96,17.82,14.2,12.89,17.36,14.78,15.48,10.96,8.93,10.57,9.42,7.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9e2adb8e95b6d4f0d645ad02c8cbd935ec7701ec5da22557ec5411c46e9c7f4a-usage_voice_d2nd_outgoing,87.2,49.47,147.98,22.7,0,88.56,0,0,30.13,16.72,89.69,35.85,78.23,0,0,28.59,0,0,0,0,0,0,0,0,3.55,0,0,0,0,0,85.69,0,90.6,0,0,0,2.29,49.86,98.99,45.94,36.66,0,0,0,0,0,0,0,0,0,0,33.94,0,0,0,0,0,0,0,0,8.73,20.41,59.7,54.92,0,19.84,0,30.26,0,0,22.22,0,0,0,0,0,0,71.82,0,0,0,0,0,0,0,0,0,0,0,0
9e2adb8e95b6d4f0d645ad02c8cbd935ec7701ec5da22557ec5411c46e9c7f4a-usage_voice_d2d_incoming,16.37,20.88,19.58,17.42,16.93,14.14,16.08,16.18,13.71,0,0,0,0,0,0,0,0,9.22,11.87,8.22,5.75,7.77,7.02,3.96,4.72,4.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9e2adb8e95b6d4f0d645ad02c8cbd935ec7701ec5da22557ec5411c46e9c7f4a-usage_voice_nd2d_incoming,15.47,9.86,18.14,23.14,15.01,22.74,11.36,12.69,19.05,30.9,15.99,0,14.43,30.19,8.05,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.6,20.57,0,15.64,3.77,26.52,13.92,13.41,3.15,24.55,8.86,0,6.89,18.52,14.16,5.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.72,10.03,16.28,0,0,9.54,8.76,12.58,8.37,0,8.88,6.2,13.27,0,0,0,0,0,0,0,0,0,0,0,0
9e2adb8e95b6d4f0d645ad02c8cbd935ec7701ec5da22557ec5411c46e9c7f4a-usage_pack_data,60.6,94.42,0,20.95,76.09,0,2.35,69.21,279.41,348.88,62.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.96,0,274.87,338.83,0,0,0,89,37.1,0,51.74,169.4,0,0,0,0,0,0,210.3,0,0,0,0,0,0,0,0,0,0,0,170.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9e2adb8e95b6d4f0d645ad02c8cbd935ec7701ec5da22557ec5411c46e9c7f4a-usage_pack_vas,19.7,18.98,18.17,17.51,16.61,15.77,15.31,14.04,13.01,12.16,11.58,10.83,9.85,8.69,8.02,7.02,6.27,5.46,4.92,3.99,3.01,2.16,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ddd95eb2b5667ea656f39b8794a65feba591c82c4b80d454992a9145dbb2ad92-usage_app_other,171.28,28.29,194.31,42.38,0,41.83,131.63,23.92,73.09,13.88,61.68,0.93,105.76,53.17,143.83,83.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.79,3.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ddd95eb2b5667ea656f39b8794a65feba591c82c4b80d454992a9145dbb2ad92-usage_app_youtube_daily,79.44,91.37,22.44,120.9,125.16,114.98,155.05,154.92,121.32,73.21,73.83,71.42,71.85,44.65,57.11,29.45,53.07,71.7,81.33,102.36,71.38,73.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.51,82.07,0,0,0,0,23.44,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ddd95eb2b5667ea656f39b8794a65feba591c82c4b80d454992a9145dbb2ad92-usage_app_facebook_daily,56.72,50.07,45.39,9.99,15.22,109.81,124.24,119.21,0,71.52,5.63,48.13,196.54,0,137.45,90.21,80.91,6.79,19.21,5.38,5.77,0,0,34.31,40.71,30.03,10.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.84,0,0,0,0,0,0,0,0,0,0,0,0,0,37.06,0,0,14.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ddd95eb2b5667ea656f39b8794a65feba591c82c4b80d454992a9145dbb2ad92-usage_app_tiktok_daily,110.84,49.62,110.11,27.94,36.2,0,0,0,0,52.36,37.41,6.34,59.47,23,0,0,0,0,27.82,22.63,0,34.4,48.89,0,0,0,0,0,39.86,11.83,0,4.25,0,0,0,0,0,0,6.81,11.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ddd95eb2b5667ea656f39b8794a65feba591c82c4b80d454992a9145dbb2ad92-usage_app_whatsapp_daily,9.66,9.33,9.84,9.99,10.28,9.79,9.36,8.54,8.99,9.04,8.56,8.65,8.22,8.09,8.68,8.07,7.61,8.55,7.62,7.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.39,4.33,3.75,4.25,3.78,4.02,3.83,2.91,3.2,2.94,2.82,3.17,2.74,2.57,2.49,2.47,2.33,2.44,2.36,1.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ddd95eb2b5667ea656f39b8794a65feba591c82c4b80d454992a9145dbb2ad92-usage_app_helakuru_daily,0,44.09,0,13.54,0,43.13,31.15,0,0,20.18,1.44,13.83,22.25,32.63,77.36,0,35.16,37.16,0,0,0,0,0,11.33,3,0,44.83,0,0,45.33,0,16.19,0,36.35,0,6.98,47.79,9.92,0,0.07,0,0,0,0,27.11,0,0,4.8,4.67,0,0,4.66,0,31.82,0,0,22.02,31.9,41,0,0,25.49,8.21,0,0,0,34.22,0,34.15,26.96,16.46,6.75,41.2,39.67,49.48,60.38,19.83,19.49,11.56,0,15.7,0,0,0,0,16.89,21.96,0,43.96,0
ddd95eb2b5667ea656f39b8794a65feba591c82c4b80d454992a9145dbb2ad92-usage_voice_d2d_outgoing,0.77,0,29.66,0,8.39,18.79,34.11,41.1,0,0,0,14.7,0,35.32,0,77.68,0,33.34,8.56,0,0,119.73,0,0,0,0,0,1.21,0,9.59,0,0,0,35.88,0,0,0,0,0,0,46.14,0,0,0,0,0,4.42,0,17.79,0,0,22.58,52.44,0,0,114.29,0,103.2,0,0,95.91,0,66.6,0,0,0,0,0,0,0,0,0,0,0,0,0,129.17,11.88,0,0,0,0,0,0,0,0,0,42.17,27.43,72.91
ddd95eb2b5667ea656f39b8794a65feba591c82c4b80d454992a9145dbb2ad92-usage_voice_d2nd_outgoing,20.08,20.9,18.99,19.28,18.56,17.89,18.86,18.02,21.07,0,0,0,0,0,0,0,0,18.01,18.43,17.23,16.34,16.16,17.73,15.33,15.26,15.54,0,0,0,0,0,0,0,0,13.76,15.07,13.72,14.36,13.51,13.39,13.26,11.65,12.83,0,0,0,0,0,0,0,0,10.2,11.61,12.34,13.2,11.84,11.11,10.54,11.72,8.85,0,0,0,0,0,0,0,0,9.17,9.26,8.86,7.92,7.67,7.66,8.76,7.23,8.41,0,0,0,0,0,0,0,0,6.69,6.77,5.8,5.58,5.4
ddd95eb2b5667ea656f39b8794a65feba591c82c4b80d454992a9145dbb2ad92-usage_voice_d2d_incoming,73.02,140.45,0,0,0,16.27,0,64.12,0,0,43.56,0,22.93,0,114.43,37.45,0,0,90.05,0,88.05,0,0,0,0,0,35.18,91.33,0,0,26.34,0,51.7,0,62.11,0,180.07,30.91,0,0,135.91,216.24,0,15.61,0,0,0,5.96,0,0,0,0,0,0,0,0,15.52,36.99,65.72,0,0,0,0,0,0,83.5,0,0,0,0,18.49,0,0,0,0,0,3.94,0,0,24.21,0,0,0,0,0,130.82,39.13,0,8.14,88.01
